=== DL-SBL  sigma=5 ===
EM   1/500 | recon MSE 295.5568 | rel_change 1.588e+00
EM  11/500 | recon MSE  20.7182 | rel_change 7.562e-02
EM  21/500 | recon MSE  14.0509 | rel_change 2.831e-02
EM  31/500 | recon MSE  11.8397 | rel_change 1.714e-02
EM  41/500 | recon MSE  10.6974 | rel_change 1.233e-02
EM  51/500 | recon MSE  10.0205 | rel_change 9.784e-03
EM  61/500 | recon MSE   9.5711 | rel_change 7.880e-03
EM  71/500 | recon MSE   9.2451 | rel_change 6.657e-03
EM  81/500 | recon MSE   9.0025 | rel_change 5.560e-03
EM  91/500 | recon MSE   8.8171 | rel_change 4.873e-03
EM 101/500 | recon MSE   8.6708 | rel_change 4.674e-03
EM 111/500 | recon MSE   8.5484 | rel_change 4.183e-03
EM 121/500 | recon MSE   8.4435 | rel_change 4.019e-03
EM 131/500 | recon MSE   8.3570 | rel_change 3.522e-03
EM 141/500 | recon MSE   8.2833 | rel_change 3.398e-03
EM 151/500 | recon MSE   8.2182 | rel_change 3.173e-03
EM 161/500 | recon MSE   8.1635 | rel_change 2.836e-03
EM 171/500 | recon MSE   8.1120 | rel_change 2.849e-03
EM 181/500 | recon MSE   8.0651 | rel_change 2.534e-03
EM 191/500 | recon MSE   8.0233 | rel_change 2.565e-03
EM 201/500 | recon MSE   7.9856 | rel_change 3.726e-03
EM 211/500 | recon MSE   7.9515 | rel_change 2.110e-03
EM 221/500 | recon MSE   7.9198 | rel_change 2.050e-03
EM 231/500 | recon MSE   7.8899 | rel_change 2.968e-03
EM 241/500 | recon MSE   7.8650 | rel_change 2.283e-03
EM 251/500 | recon MSE   7.8411 | rel_change 1.874e-03
EM 261/500 | recon MSE   7.8173 | rel_change 1.756e-03
EM 271/500 | recon MSE   7.7969 | rel_change 1.687e-03
EM 281/500 | recon MSE   7.7766 | rel_change 1.890e-03
EM 291/500 | recon MSE   7.7587 | rel_change 1.597e-03
EM 301/500 | recon MSE   7.7431 | rel_change 1.495e-03
EM 311/500 | recon MSE   7.7281 | rel_change 1.310e-03
EM 321/500 | recon MSE   7.7147 | rel_change 1.272e-03
EM 331/500 | recon MSE   7.7003 | rel_change 1.373e-03
EM 341/500 | recon MSE   7.6851 | rel_change 1.432e-03
EM 351/500 | recon MSE   7.6706 | rel_change 1.297e-03
EM 361/500 | recon MSE   7.6562 | rel_change 1.571e-03
EM 371/500 | recon MSE   7.6423 | rel_change 1.404e-03
EM 381/500 | recon MSE   7.6299 | rel_change 1.411e-03
EM 391/500 | recon MSE   7.6187 | rel_change 1.472e-03
EM 401/500 | recon MSE   7.6076 | rel_change 1.338e-03
EM 411/500 | recon MSE   7.5965 | rel_change 1.354e-03
EM 421/500 | recon MSE   7.5868 | rel_change 1.481e-03
EM 431/500 | recon MSE   7.5766 | rel_change 1.243e-03
EM 441/500 | recon MSE   7.5660 | rel_change 1.137e-03
EM 451/500 | recon MSE   7.5567 | rel_change 1.055e-03
EM 461/500 | recon MSE   7.5473 | rel_change 1.112e-03
EM 470/500 | recon MSE   7.5389 | rel_change 9.903e-04
Learned dictionary: 128 atoms, sigma2 = 25.0
Per-patch atoms for 99% energy -- mean 17.9, median 18, max 34
Training time: 2998.0 s (50.0 min)
Saved DL-SBL artifacts to ../Data/*_sbl_5.npy
=== DL-SBL  sigma=10 ===
EM   1/500 | recon MSE 503.4403 | rel_change 1.271e+00
EM  11/500 | recon MSE 136.1722 | rel_change 1.397e-01
EM  21/500 | recon MSE 101.5116 | rel_change 5.238e-02
EM  31/500 | recon MSE  86.0153 | rel_change 3.295e-02
EM  41/500 | recon MSE  76.5134 | rel_change 2.381e-02
EM  51/500 | recon MSE  69.8695 | rel_change 1.871e-02
EM  61/500 | recon MSE  65.0402 | rel_change 1.547e-02
EM  71/500 | recon MSE  61.3309 | rel_change 1.288e-02
EM  81/500 | recon MSE  58.3018 | rel_change 1.083e-02
EM  91/500 | recon MSE  55.7426 | rel_change 1.068e-02
EM 101/500 | recon MSE  53.6325 | rel_change 9.089e-03
EM 111/500 | recon MSE  51.8630 | rel_change 8.164e-03
EM 121/500 | recon MSE  50.3112 | rel_change 7.136e-03
EM 131/500 | recon MSE  48.9871 | rel_change 7.121e-03
EM 141/500 | recon MSE  47.8097 | rel_change 6.698e-03
EM 151/500 | recon MSE  46.7613 | rel_change 5.199e-03
EM 161/500 | recon MSE  45.8205 | rel_change 5.132e-03
EM 171/500 | recon MSE  44.9639 | rel_change 4.901e-03
EM 181/500 | recon MSE  44.2145 | rel_change 4.626e-03
EM 191/500 | recon MSE  43.5346 | rel_change 4.318e-03
EM 201/500 | recon MSE  42.9207 | rel_change 4.002e-03
EM 211/500 | recon MSE  42.3470 | rel_change 4.019e-03
EM 221/500 | recon MSE  41.8191 | rel_change 4.374e-03
EM 231/500 | recon MSE  41.3244 | rel_change 3.749e-03
EM 241/500 | recon MSE  40.8808 | rel_change 3.575e-03
EM 251/500 | recon MSE  40.4711 | rel_change 3.440e-03
EM 261/500 | recon MSE  40.0926 | rel_change 2.921e-03
EM 271/500 | recon MSE  39.7314 | rel_change 3.689e-03
EM 281/500 | recon MSE  39.3992 | rel_change 3.007e-03
EM 291/500 | recon MSE  39.0975 | rel_change 3.236e-03
EM 301/500 | recon MSE  38.8091 | rel_change 3.095e-03
EM 311/500 | recon MSE  38.5421 | rel_change 2.636e-03
EM 321/500 | recon MSE  38.2764 | rel_change 3.163e-03
EM 331/500 | recon MSE  38.0291 | rel_change 2.251e-03
EM 341/500 | recon MSE  37.7898 | rel_change 2.586e-03
EM 351/500 | recon MSE  37.5659 | rel_change 2.112e-03
EM 361/500 | recon MSE  37.3564 | rel_change 2.003e-03
EM 371/500 | recon MSE  37.1526 | rel_change 2.152e-03
EM 381/500 | recon MSE  36.9535 | rel_change 2.326e-03
EM 391/500 | recon MSE  36.7715 | rel_change 1.824e-03
EM 401/500 | recon MSE  36.6010 | rel_change 1.999e-03
EM 411/500 | recon MSE  36.4361 | rel_change 1.865e-03
EM 421/500 | recon MSE  36.2794 | rel_change 1.679e-03
EM 431/500 | recon MSE  36.1223 | rel_change 1.811e-03
EM 441/500 | recon MSE  35.9752 | rel_change 1.579e-03
EM 451/500 | recon MSE  35.8332 | rel_change 1.736e-03
EM 461/500 | recon MSE  35.7006 | rel_change 1.724e-03
EM 471/500 | recon MSE  35.5734 | rel_change 1.642e-03
EM 481/500 | recon MSE  35.4481 | rel_change 1.696e-03
EM 491/500 | recon MSE  35.3229 | rel_change 1.928e-03
Learned dictionary: 128 atoms, sigma2 = 100.0
Per-patch atoms for 99% energy -- mean 14.4, median 14, max 28
Training time: 2503.8 s (41.7 min)
Saved DL-SBL artifacts to ../Data/*_sbl_10.npy
=== DL-SBL  sigma=15 ===
EM   1/500 | recon MSE 667.2290 | rel_change 9.279e-01
EM  11/500 | recon MSE 337.6725 | rel_change 1.855e-01
EM  21/500 | recon MSE 272.7587 | rel_change 7.436e-02
EM  31/500 | recon MSE 241.1689 | rel_change 4.655e-02
EM  41/500 | recon MSE 220.0197 | rel_change 3.366e-02
EM  51/500 | recon MSE 204.3228 | rel_change 2.619e-02
EM  61/500 | recon MSE 191.6351 | rel_change 2.118e-02
EM  71/500 | recon MSE 180.9748 | rel_change 1.765e-02
EM  81/500 | recon MSE 172.2908 | rel_change 1.627e-02
EM  91/500 | recon MSE 164.8348 | rel_change 1.424e-02
EM 101/500 | recon MSE 158.3910 | rel_change 1.220e-02
EM 111/500 | recon MSE 152.6810 | rel_change 1.109e-02
